"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Tom","Israel","Couple","7.5","Good","7 June 2014","Location is good relative to the price (20 minutes walk from the center).
Groceries stores are located nearby.
free internet with good reception on the room.
Good stuff members.","SmartTV had bad internet connectivity  80% of the time.
towels were not replaced with clean ones (just folded).
liquid soaps were filled only upon demend","Dear Tom, thank you for your stay with us and the time you have spend to comment your stay. We appricciate every feedback we receive, since it helps us to understand our guest expectations and our state of work. We are happy to see that you like our location and our staff. As to your mentioning of the SmartTV connectivity, the towels and the refill of the liquide soap, we do like to apologize for any inconvenience caused to you. We certainly will adress your points to our staff, in order to optimize our work process.","Location is good relative to the price (20 minutes walk from the center).
Groceries stores are located nearby.
free internet with good reception on the room.
Good stuff members.","SmartTV had bad internet connectivity  80% of the time.
towels were not replaced with clean ones (just folded).
liquid soaps were filled only upon demend","Dear Tom, thank you for your stay with us and the time you have spend to comment your stay. We appricciate every feedback we receive, since it helps us to understand our guest expectations and our state of work. We are happy to see that you like our location and our staff. As to your mentioning of the SmartTV connectivity, the towels and the refill of the liquide soap, we do like to apologize for any inconvenience caused to you. We certainly will adress your points to our staff, in order to optimize our work process.",
"Sebla","Turkey","Group of friends","9.6","Very good location","7 October 2014","Very good location
Friendly and helpful staff
Rich breakfast buffet 
Very clean rooms","The breakfast was a little pricey","","Very good location
Friendly and helpful staff
Rich breakfast buffet 
Very clean rooms","The breakfast was a little pricey","",
"Riad","United Arab Emirates","Solo traveller","9.6","Best business hotel for Berlin Messe visitors","4 October 2014","location, ambiance, color scheme, breakfast, room, English TV channels, fast internet","Room was on 1st floor above hotel delivery door and at 5AM delivery truck was noisy and driver and workers very chatty which woke me up","","location, ambiance, color scheme, breakfast, room, English TV channels, fast internet","Room was on 1st floor above hotel delivery door and at 5AM delivery truck was noisy and driver and workers very chatty which woke me up","",
"Jana","U.S.A.","Couple","9.6","great hotel","24 September 2014","staff was very nice, room spacious and modern, nice sauna and fitness studio, excellent location, very good deal for the money","beer bottles in the hall way","","staff was very nice, room spacious and modern, nice sauna and fitness studio, excellent location, very good deal for the money","beer bottles in the hall way","",
"Lynette","Australia","Group of friends","8.3","Very good","22 September 2014","Location, room size, staff","All ok","","Location, room size, staff","All ok","",
"Megat","Malaysia","Solo traveller","4.6","Disappointing","12 September 2014","strategic location","Elevator not working for the entire stay","","strategic location","Elevator not working for the entire stay","",
"Katarzyna","Germany","Group of friends","6.7","Nice hotel in good location","9 September 2014","location","beds -not very comfortable & beddings (poliester, not nice)","","location","beds -not very comfortable & beddings (poliester, not nice)","",
"Júnia","Brazil","Family","9.6","A nice experience","1 September 2014","This is a charm, clean and confortable place to stay. Furthermore, the staff is friendly and the hotel is really well located. I highly recomend it!","","","This is a charm, clean and confortable place to stay. Furthermore, the staff is friendly and the hotel is really well located. I highly recomend it!","","",
"Svetlana","Germany","Couple","7.9","super location","20 August 2014","location, gym, cleanliness","lamps were not working properly, breakfast was unreasanably expensive, staff first couldnt find our booking, second our bank card was charged twice!","","location, gym, cleanliness","lamps were not working properly, breakfast was unreasanably expensive, staff first couldnt find our booking, second our bank card was charged twice!","",
"Guney","Turkey","Solo traveller","9.6","Best offer best money","16 August 2014","Location clean fresh great resting","","","Location clean fresh great resting","","",
"Coral","United Kingdom","Solo traveller","8.3","Lovely rooms and very quiet!","15 August 2014","Great Location
Nice room
Very comfy bed
Most of the staff were excellent","Just one member of staff let the team down","","Great Location
Nice room
Very comfy bed
Most of the staff were excellent","Just one member of staff let the team down","",
"Almir","Bosnia and Herzegovina","Couple","8.3","Great hotwl","14 August 2014","","Not real aircon but only ventilation. Could be hot during the summer.","","","Not real aircon but only ventilation. Could be hot during the summer.","",
"Ronan","Ireland","Couple","5.8","Great Location- a little more 'arty' would have been better","5 August 2014","location","sterility","Dear Ronan, thank you very much for your stay with us. We are happy to see to have met your expectations with our location. We are sorry to see to only have met your expectations partially in the other areas. Please feel free to contact us with futher details so we can evaluate us better and see where to enhance our performance in particular. Guest feedback is a crucial part for us to evaluate our performance and reach our standards. Thank you once again and we hope to be able to welcoming you again.","location","sterility","Dear Ronan, thank you very much for your stay with us. We are happy to see to have met your expectations with our location. We are sorry to see to only have met your expectations partially in the other areas. Please feel free to contact us with futher details so we can evaluate us better and see where to enhance our performance in particular. Guest feedback is a crucial part for us to evaluate our performance and reach our standards. Thank you once again and we hope to be able to welcoming you again.",
"Minna","Finland","Solo traveller","8.8","Liked it a lot - excellent value for money!","4 August 2014","location: near to U-Bahn station (Uhlandstrasse)
- new, clean, very spacious, quiet and modern room (Art room with double bed, 7th Floor)
- mini-bar very good at summer time to cool your own drinks and food
- safe in the room
- proper goods to make coffee and tea
- grocery store (Edeka) at the opposite side of the street
- I booked accommodation one month ahead, got it for very reasonal price (5 nights for 266€, paid in advance)
- air-conditioning, also windows were able to be opened
- new flat screen TV with Wi-Fi, interactive remote control
- there was some problems with hot water one day, but it was at daytime and didn't bother me, while I was away from the morning 'til the evening. Hotel gave free drink at the lobby bar and a couple of bottle waters with a apologise note, so that inconvenience was handled very well 
- helpful staff","air-conditioning didn't work properly for the last two days (gave funny smell to room if was turned on), but it was possible to open the windows in the evenings
- well... can't figure out anything else even if I tried! :)",""," location: near to U-Bahn station (Uhlandstrasse)
- new, clean, very spacious, quiet and modern room (Art room with double bed, 7th Floor)
- mini-bar very good at summer time to cool your own drinks and food
- safe in the room
- proper goods to make coffee and tea
- grocery store (Edeka) at the opposite side of the street
- I booked accommodation one month ahead, got it for very reasonal price (5 nights for 266€, paid in advance)
- air-conditioning, also windows were able to be opened
- new flat screen TV with Wi-Fi, interactive remote control
- there was some problems with hot water one day, but it was at daytime and didn't bother me, while I was away from the morning 'til the evening. Hotel gave free drink at the lobby bar and a couple of bottle waters with a apologise note, so that inconvenience was handled very well 
- helpful staff"," air-conditioning didn't work properly for the last two days (gave funny smell to room if was turned on), but it was possible to open the windows in the evenings
- well... can't figure out anything else even if I tried! :)","",
"Patryk001","Poland","Couple","9.2","very good","29 July 2014","good location (5 min walk to ZOO), clean and  comfortable room (street view), free internet, good price (45 euro)","expensive breakfast (15 euro), nothing.",""," good location (5 min walk to ZOO), clean and  comfortable room (street view), free internet, good price (45 euro)"," expensive breakfast (15 euro), nothing.","",
"Doruk","Turkey","Couple","5.8","Okay","28 June 2014","location is good. hotel is clean.","staf is not paying attention to guest requests. first i have a special requirement for early check in. previously it was confirmed but my room was not ready at 11:30. i wait 45 minutes and the staf not aware of my note. i was late to my meeting. staf has to be trained. i will not stay in art hotel no more and my team as well..","Dear Mr Doruk, thank you for your stay with us and the time you took to review. We are happy to see that you have liked the location of the hotel and noticed our good cleanliness. We sincerly apologize for the inconvenience caused to you in respect of your requested early arrival. We would like to assure you, that we constantly train our staff and that our internal communication works seamless. We will follow up on the situation in your case with our staff. We do hope, although you have stated otherwise, to have an opportunity to prove ourselfs to you in the future.","location is good. hotel is clean.","staf is not paying attention to guest requests. first i have a special requirement for early check in. previously it was confirmed but my room was not ready at 11:30. i wait 45 minutes and the staf not aware of my note. i was late to my meeting. staf has to be trained. i will not stay in art hotel no more and my team as well..","Dear Mr Doruk, thank you for your stay with us and the time you took to review. We are happy to see that you have liked the location of the hotel and noticed our good cleanliness. We sincerly apologize for the inconvenience caused to you in respect of your requested early arrival. We would like to assure you, that we constantly train our staff and that our internal communication works seamless. We will follow up on the situation in your case with our staff. We do hope, although you have stated otherwise, to have an opportunity to prove ourselfs to you in the future.",
"Hans","Hungary","Couple","10","Exceptional","17 June 2014","Nice interior, clean and friendly rooms and bath for reasonable price. I shall come back again.","","","Nice interior, clean and friendly rooms and bath for reasonable price. I shall come back again.","","",
"Andreea","Romania","Couple","7.9","Good","1 June 2014","Breakfast, people opened to offer you support and advice regarding city","No swimming pool available.","Thank you for your recent stay with us and your positive review. We are happy to see that we were able to fully meet your expectation in regards to the comfort of your stay.  We are looking forward to welcoming you again soon.","Breakfast, people opened to offer you support and advice regarding city","No swimming pool available.","Thank you for your recent stay with us and your positive review. We are happy to see that we were able to fully meet your expectation in regards to the comfort of your stay.  We are looking forward to welcoming you again soon.",
"Lynn","Netherlands","Group of friends","7.1","Good","20 May 2014","The location is good, closed to Bus Stop and Main Street.","Quite expensive","Thank you for your review and your stay with us. We are happy to see that our location left a positive impression. It would be great to be able to welcoming you again soon.","The location is good, closed to Bus Stop and Main Street.","Quite expensive","Thank you for your review and your stay with us. We are happy to see that our location left a positive impression. It would be great to be able to welcoming you again soon.",
"Julien","United Kingdom","Group of friends","7.5","Good","13 May 2014","Good breakfast, friendly staff.","Rooms facing the steet somewhat noisy, lobby starting to look a little tired, for the prices they charge they really should sand an re-varnish their floors before they start to deteriorate!","Thank you for your stay and the time you took to review us. We are very happy about your positive staff comments and our breakfast. Your comments are very helpful to us and will be shared with our teams.","Good breakfast, friendly staff.","Rooms facing the steet somewhat noisy, lobby starting to look a little tired, for the prices they charge they really should sand an re-varnish their floors before they start to deteriorate!","Thank you for your stay and the time you took to review us. We are very happy about your positive staff comments and our breakfast. Your comments are very helpful to us and will be shared with our teams.",
"Sebastiano","United Kingdom","Couple","8.3","Very good","13 May 2014","Great location close to the main shopping district, friendly staff at front desk.","","Thank you for your stay and your review. It is great for us to see that our staff and our location have made a positive impression. We hope to be welcoming you again soon.","Great location close to the main shopping district, friendly staff at front desk.","","Thank you for your stay and your review. It is great for us to see that our staff and our location have made a positive impression. We hope to be welcoming you again soon.",
"Katarzyna","Ireland","Group of friends","8.3","Very good","30 April 2014","Absolutely lovely design!
Very comfortable bed and bathroom, a very clean place! so close to Ku'damm and all the shops!","Breakfast is so overpriced! 15 Euro pP !? Way too much!","Thank you for your poitive evaluation and for your stay with us. We are very happy to have met your full expectations in regards to cleanliness and comfort and that you liked our design. We hope to welcome you again soon.","Absolutely lovely design!
Very comfortable bed and bathroom, a very clean place! so close to Ku'damm and all the shops!","Breakfast is so overpriced! 15 Euro pP !? Way too much!","Thank you for your poitive evaluation and for your stay with us. We are very happy to have met your full expectations in regards to cleanliness and comfort and that you liked our design. We hope to welcome you again soon.",
"Amy","United Kingdom","Couple","9.2","Superb","22 March 2014","Great hotel though Andy Warhol staring down at you from above the bed was a little disconcerting!","","Thank you for your stay with us and your positive review. We are very happy to have met your expectations fully in so many areas. It will be our pleasure to welcoming you again.","Great hotel though Andy Warhol staring down at you from above the bed was a little disconcerting!","","Thank you for your stay with us and your positive review. We are very happy to have met your expectations fully in so many areas. It will be our pleasure to welcoming you again.",
"Chris","United Kingdom","Couple","5.8","Okay","12 March 2014","Location.","Dirty. Cracked tiles in bathroom. Wall very scuffed. Small room. One lift. Inadequate.","Thank you for your stay and your time to evaluate us. In our work, we put a major focus on guest experience and service. Therefore we have set ourselves high standards in those areas. The more we regret that we were not able to work up to those standards during your stay and not having met your expectations. Please let us apologize for that to you. We like to assure you, that your shared experience, as well as all other, will be a valuable part of our internal evaluation and will help us to optimize our operations. Therefore we do hope to be able to welcoming you again.","Location.","Dirty. Cracked tiles in bathroom. Wall very scuffed. Small room. One lift. Inadequate.","Thank you for your stay and your time to evaluate us. In our work, we put a major focus on guest experience and service. Therefore we have set ourselves high standards in those areas. The more we regret that we were not able to work up to those standards during your stay and not having met your expectations. Please let us apologize for that to you. We like to assure you, that your shared experience, as well as all other, will be a valuable part of our internal evaluation and will help us to optimize our operations. Therefore we do hope to be able to welcoming you again.",
"Angeline","Singapore","Solo traveller","7.5","Good","9 March 2014","The excellent location and the entire stay was pleasant and comfortable","The slow internet and the warm air-conditioning, somehow the air-conditioning controller does not seems to be able to control the temperature.","Thank you for your stay and the time you spend to evaluate us. We highly appreciate your comments and regret that the air conditioning was not working during your stay. Please accept our apology for the inconveniences caused. As for the internet, we are happy to let you know, that we have a new system installed by now. We do hope to be able to welcoming you again soon.","The excellent location and the entire stay was pleasant and comfortable","The slow internet and the warm air-conditioning, somehow the air-conditioning controller does not seems to be able to control the temperature.","Thank you for your stay and the time you spend to evaluate us. We highly appreciate your comments and regret that the air conditioning was not working during your stay. Please accept our apology for the inconveniences caused. As for the internet, we are happy to let you know, that we have a new system installed by now. We do hope to be able to welcoming you again soon.",
"David","United Kingdom","Couple","8.8","Fabulous","24 February 2014","Fantastic Warhol themed decor both in the rooms and the communal areas.  All very modern and tasteful.","For some reason the air conditioning unit wasnt working and, despite the weather the room was unbearably warm and we were forced to sleep with the windows open.","","Fantastic Warhol themed decor both in the rooms and the communal areas.  All very modern and tasteful.","For some reason the air conditioning unit wasnt working and, despite the weather the room was unbearably warm and we were forced to sleep with the windows open.","",
