"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Alla","Israel","","9.6","Exceptional","1 September 2014","Friendly and helpfull staff
Excellent location - just a couple of minutes to S-Bahn station and about 10 minutes to the central station
Clean and modern room - we really liked unusial designers decision with the bathroom door
Amazing breakfast, fresh, tasty and variative, we wanted to try it only once, but ended up ordering it each morning during our stay. Would definitely recommend it.","Wifi is only in lobby, but it wasn't a surprise, we knew about it. So I wouldn't really call it a disadvantage.","","Friendly and helpfull staff
Excellent location - just a couple of minutes to S-Bahn station and about 10 minutes to the central station
Clean and modern room - we really liked unusial designers decision with the bathroom door
Amazing breakfast, fresh, tasty and variative, we wanted to try it only once, but ended up ordering it each morning during our stay. Would definitely recommend it.","Wifi is only in lobby, but it wasn't a surprise, we knew about it. So I wouldn't really call it a disadvantage.","",
"Daphna","Israel","","8.8","Fabulous","7 April 2014","great neighborhood, close to public transportation and to almost everywhere. very very clean and quiet, except for the train. the staff was very kind and helpful, and has tried to assist me by finding a room that wasn't that close to the rail but keep in mind that all the hotel is practically adjacent to it","the railway is just outside the window, u could almost touch it, and when it's so quiet the roaring sound the train makes when it passes by (until very late at night and starting very early in the morning) is quite disturbing. if you are a light sleeper beware","","great neighborhood, close to public transportation and to almost everywhere. very very clean and quiet, except for the train. the staff was very kind and helpful, and has tried to assist me by finding a room that wasn't that close to the rail but keep in mind that all the hotel is practically adjacent to it","the railway is just outside the window, u could almost touch it, and when it's so quiet the roaring sound the train makes when it passes by (until very late at night and starting very early in the morning) is quite disturbing. if you are a light sleeper beware","",
"Ben","United Kingdom","","9.6","Exceptional","21 September 2014","Handy for SBahn station.
Nice couple of bars and restaurants nearby.","Close to S Bahn line.  Tho I must admit it didn't disturb my sleep.
Wifi coverage was quite weak.","","Handy for SBahn station.
Nice couple of bars and restaurants nearby.","Close to S Bahn line.  Tho I must admit it didn't disturb my sleep.
Wifi coverage was quite weak.","",
"Katarzyna","Poland","","9.5","Exceptional","4 September 2014","We stayed in Berlin for two nights in a double room. Maybe it wasn't too huge neither too luxurious. But the room was modern, very bright, specious, and CLEAN. We had a big bed there, TV, air-condition and small fridge. We had a bathroom with glass door, which was pretty cool, especially for a young couple ;) It was really nice place - they cleaned everyday and brought us fresh towels and mini - soups and shampoos! 
The hotel isn't exactly in city center, but it shouldn't be a problem to get somewhere in Berlin, it's very close to Kurfurstendamm as well :)) It's worth its price and I would highly recommend that place. I hope to come back there one day :)","The building from the street doesn't encourage, it seems to be a bit old, but if you get inside, you won't regret it! 
The only problem was that Wi-Fi  wasn't available in the room, it was reachable only in reception.","","We stayed in Berlin for two nights in a double room. Maybe it wasn't too huge neither too luxurious. But the room was modern, very bright, specious, and CLEAN. We had a big bed there, TV, air-condition and small fridge. We had a bathroom with glass door, which was pretty cool, especially for a young couple ;) It was really nice place - they cleaned everyday and brought us fresh towels and mini - soups and shampoos! 
The hotel isn't exactly in city center, but it shouldn't be a problem to get somewhere in Berlin, it's very close to Kurfurstendamm as well :)) It's worth its price and I would highly recommend that place. I hope to come back there one day :)","The building from the street doesn't encourage, it seems to be a bit old, but if you get inside, you won't regret it! 
The only problem was that Wi-Fi  wasn't available in the room, it was reachable only in reception.","",
"Lauri","Finland","","7.5","Good","1 September 2014","","The breakfast hall is too small during the most rushed season","","","The breakfast hall is too small during the most rushed season","",
"Viktar","Russia","","9.2","Superb","10 August 2014","Breakfasts are expensive, but worth it.","Internet in rooms only by ethernet cable.","","Breakfasts are expensive, but worth it.","Internet in rooms only by ethernet cable.","",
"Mohamadreza","Germany","","8.8","Fabulous","27 July 2014","big room, very clean with big modern bathroom.
good breakfast
fair price
close to subway station
quiet","no internet access in rooms,just in public areas of hotel.","","big room, very clean with big modern bathroom.
good breakfast
fair price
close to subway station
quiet","no internet access in rooms,just in public areas of hotel.","",
"Jacqueline","U.S.A.","","6.3","Pleasant","27 July 2014","The staff was friendly and tried to accommodate my requests. The night clerk Martinez was especially wonderful.","The lift area looks trashy. The exterior of the hotel needs to have a facelift. The hot water was out for one of the days and the shower curtain had mildew in room 411.","","The staff was friendly and tried to accommodate my requests. The night clerk Martinez was especially wonderful.","The lift area looks trashy. The exterior of the hotel needs to have a facelift. The hot water was out for one of the days and the shower curtain had mildew in room 411.","",
"Jeremy","United Kingdom","","6.7","Pleasant","26 July 2014","Good location","Air con was more like a warm air fan.. Toiletries not provided everyday.","","Good location","Air con was more like a warm air fan.. Toiletries not provided everyday.","",
"Melissa","Canada","","10","Exceptional","20 July 2014","Everything was great about this hotel. Showers are hazy, so privacy might be an issue to some people. A bit far, but the tram is right there. Enjoyed the patio greatly","wifi in the lobby, LAN in rooms only","","Everything was great about this hotel. Showers are hazy, so privacy might be an issue to some people. A bit far, but the tram is right there. Enjoyed the patio greatly","wifi in the lobby, LAN in rooms only","",
