"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Rimma","Israel","","6.3","Pleasant","7 September 2014","Close to metro station and to KDW. Breakfast is good. Very comfortable to have kettle and fridge in room. Room is big.","There is no central light, not enough light in the evening. Staff in eating zone hardly speaks English, only German. If you will come 30 min before end of breakfast, will be almost no food, but they can cook (cut) a little of something for you. Every day you need to put password for wi-fi again.","","Close to metro station and to KDW. Breakfast is good. Very comfortable to have kettle and fridge in room. Room is big.","There is no central light, not enough light in the evening. Staff in eating zone hardly speaks English, only German. If you will come 30 min before end of breakfast, will be almost no food, but they can cook (cut) a little of something for you. Every day you need to put password for wi-fi again.","",
"Amir","Israel","","9.6","Exceptional","21 October 2013","Great location, only 10 minutes from the city center (by bus). Quiet.
Friendly staff. Clean, brand-new rooms.","The kitchenette is a great idea, but utensils are charged 5 Euro per day
or 20 Euro per week. Wi-Fi signal in the rooms is weak.","","Great location, only 10 minutes from the city center (by bus). Quiet.
Friendly staff. Clean, brand-new rooms.","The kitchenette is a great idea, but utensils are charged 5 Euro per day
or 20 Euro per week. Wi-Fi signal in the rooms is weak.","",
"Emanuele","Italy","","7.1","Claen and silent","22 September 2014","Nice room with confortable bed and very clean.","No option for a different pillow created some problems in my sleep.","","Nice room with confortable bed and very clean.","No option for a different pillow created some problems in my sleep.","",
"Kirsty","United Kingdom","","6.3","excellent hotel and location - wouldn't recommend in middle of summer","31 August 2014","","it was warm when in Berlin and the room was very stuffy and hot. otherwise a great hotel in a great location in berlin","","","it was warm when in Berlin and the room was very stuffy and hot. otherwise a great hotel in a great location in berlin","",
"Nicholas","Germany","","7.5","Good","26 August 2014","Very good value. Comfortable room, convenient for public transport.","Artwork on walls was a bit off-putting","","Very good value. Comfortable room, convenient for public transport.","Artwork on walls was a bit off-putting","",
"Gregor","Slovenia","","10","Great city trip","23 August 2014","Nice location, had a morning jog in Tiergarten nearby. Allamneties in the room, we were ready so we had our own cutlery for morning coffee. Good value for money!","","","Nice location, had a morning jog in Tiergarten nearby. Allamneties in the room, we were ready so we had our own cutlery for morning coffee. Good value for money!","","",
"Evgeny","Germany","","7.1","Good","19 August 2014","good location and price","noisy garbage disposal in the morning","","good location and price","noisy garbage disposal in the morning","",
"majma","Poland","","8.3","Good location, good value for money","11 August 2014","location is great","extra paid parking, waterproof sheet makes you sweat during hot nights","","location is great","extra paid parking, waterproof sheet makes you sweat during hot nights","",
"James","United Kingdom","","8.8","Value for money","7 August 2014","Small (72 rooms)hotel in quiet resedential areabut with easy access to all amenities. Staff were all very pleasant and helpful.Room modern and comfortable.","As on previous visits the wi-fi is of poor quality. Having to sit by room door to get signal really needs to be addressed.
No cooling of rooms possible during hot berlin summers. Again needs attention.","","Small (72 rooms)hotel in quiet resedential areabut with easy access to all amenities. Staff were all very pleasant and helpful.Room modern and comfortable.","As on previous visits the wi-fi is of poor quality. Having to sit by room door to get signal really needs to be addressed.
No cooling of rooms possible during hot berlin summers. Again needs attention.","",
"Ross","United Kingdom","","5","Passable","7 August 2014","Good wifi, nice decor. In general not bad at all for price.","Double bed pushed up against wall. Cost imposed if you want to borrow cutlery and crockery for kitchenette. Cleaning of room wasn't very thorough. Didn't change toilet roll etc.","","Good wifi, nice decor. In general not bad at all for price.","Double bed pushed up against wall. Cost imposed if you want to borrow cutlery and crockery for kitchenette. Cleaning of room wasn't very thorough. Didn't change toilet roll etc.","",
"Muhammad","Qatar","","9.2","Lovely place, relaxing atmosphere , calm neighborhood.","4 August 2014","Peaceful place , calm and quiet. You can rent a bike from the hotel to explore the city.
staff was friendly.","Wifi was a little trouble , every time i have to log in with the details.","","Peaceful place , calm and quiet. You can rent a bike from the hotel to explore the city.
staff was friendly.","Wifi was a little trouble , every time i have to log in with the details.","",
"Amira","Egypt","","10","Exceptional","24 July 2014","First of all very good location; quiet, you can reach the bus #200 from Corneliusbruecke stop across the street, or the #100 from another stop a few meters down the street. The Aquarium and the Zoo are a walking distance. The staff is very nice and friendly. The room is very nice; clean, spacious, and the kitchenette comes with a sink of its own and microwave and fridge (you can either get your own utensils or rent theirs for a little fee). The toilet is very clean and shower has a nice door to be closed unlike the other ones with curtains that tend to gather bacteria. There is also a hair-dryer and soaps and lotion. A flat-screen TV is there and the room has a big window that lets the sunlight come in and can be opened and tilted. The only downside was the temperature was high during my visit and there is no A/C in the room but when i called the reception they immediately provided a ventilator which helped a lot. I will definitely come again :0)","","","First of all very good location; quiet, you can reach the bus #200 from Corneliusbruecke stop across the street, or the #100 from another stop a few meters down the street. The Aquarium and the Zoo are a walking distance. The staff is very nice and friendly. The room is very nice; clean, spacious, and the kitchenette comes with a sink of its own and microwave and fridge (you can either get your own utensils or rent theirs for a little fee). The toilet is very clean and shower has a nice door to be closed unlike the other ones with curtains that tend to gather bacteria. There is also a hair-dryer and soaps and lotion. A flat-screen TV is there and the room has a big window that lets the sunlight come in and can be opened and tilted. The only downside was the temperature was high during my visit and there is no A/C in the room but when i called the reception they immediately provided a ventilator which helped a lot. I will definitely come again :0)","","",
"Saowanee","Germany","","5.8","Great budget stay","20 July 2014","Location
Cheap","No air con
Wifi slow or cannot connect","","Location
Cheap","No air con
Wifi slow or cannot connect","",
