"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Arren","Israel","Solo traveller","5","Passable","11 October 2014","1. General room atmosphere.
2. Very close to the U2 and U7.","1. Bad confort was very poor.
2. Wi-Fi very slow.
3. Staff not very helpful.","","1. General room atmosphere.
2. Very close to the U2 and U7.","1. Bad confort was very poor.
2. Wi-Fi very slow.
3. Staff not very helpful.","",
"Daniel","Israel","Solo traveller","10","Exceptional","17 August 2014","Great place, great service, food was good, hotel was very clean (room, restaurants, lifts, halls).
WiFi, albeit a slow speed connection, worked without any problems.
Location wise it's close to almost anything you need and if it isn't there, there's a subway station less than 5 min. away.","No mini-fridge in the room (not really a problem though)","","Great place, great service, food was good, hotel was very clean (room, restaurants, lifts, halls).
WiFi, albeit a slow speed connection, worked without any problems.
Location wise it's close to almost anything you need and if it isn't there, there's a subway station less than 5 min. away.","No mini-fridge in the room (not really a problem though)","",
"Ronny","Israel","Couple","6.7","Pleasant","14 June 2014","Courteous service. 
Tasty breakfast. 
Israeli channel transmission. 
Central location","There was not enough space to store clothes. 
  The mattress was too soft and I got up with back pain. 
  Missing a small refrigerator in the room.","","Courteous service. 
Tasty breakfast. 
Israeli channel transmission. 
Central location","There was not enough space to store clothes. 
  The mattress was too soft and I got up with back pain. 
  Missing a small refrigerator in the room.","",
"Nira","Israel","Group of friends","8.8","Fabulous","8 June 2014","I like the atmosfair in the hotel, the staff, the food and the service. I will come again!!","The room is small.","","I like the atmosfair in the hotel, the staff, the food and the service. I will come again!!","The room is small.","",
"Hen","Israel","Couple","9.6","Exceptional","20 May 2014","","The clean team open the without check if thers people inside the room
It happenes twice
And i didnt like that the hotel takes money for wifi","","","The clean team open the without check if thers people inside the room
It happenes twice
And i didnt like that the hotel takes money for wifi","",
"Eliyahu","Israel","Couple","6.7","Pleasant","16 May 2014","","you let me think thet    the many I pay inclod  brekfest, I only have to  tell thet to the hotel, but no one now in hotel and I pay lot of many for brekfest. don't promes what you canot do. . can i have the many  for brekfest?","","","you let me think thet    the many I pay inclod  brekfest, I only have to  tell thet to the hotel, but no one now in hotel and I pay lot of many for brekfest. don't promes what you canot do. . can i have the many  for brekfest?","",
"Robert","Israel","Couple","9.2","Superb","5 May 2014","Excellent Price to quality","We were all the way at the end of the hall. 
The walls need to be lightly cleaned from scuff marks","","Excellent Price to quality","We were all the way at the end of the hall. 
The walls need to be lightly cleaned from scuff marks","",
"Tsvang","Israel","Group of friends","8.3","Very good","9 December 2013","The stuff was very friendly and professional. The breakfast was excellent. We enjoyed everything very much. Thank you.","","","The stuff was very friendly and professional. The breakfast was excellent. We enjoyed everything very much. Thank you.","","",
"Ariel","Israel","Couple","8.8","Fabulous","6 October 2013","room
breakfast","Parking coast","","room
breakfast","Parking coast","",
"Dilma","Brazil","Group of friends","8","Very good","10 October 2014","quiet - silence
breakfast","noise","","tranquilidade - silêncio
breakfast","barulho","",
