"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"Ariel","Israel","Group of friends","8.8","Fabulous","16 September 2014","The room was clean and the bed was very comfortable. The staff was very nice. It's a 2 minute walk to the tram, so you are close to any location you want. Fair price for what you get","No pool. No jacuzzi in the sauna. Other than that, no complaints","","The room was clean and the bed was very comfortable. The staff was very nice. It's a 2 minute walk to the tram, so you are close to any location you want. Fair price for what you get","No pool. No jacuzzi in the sauna. Other than that, no complaints","",
"Doron","Israel","Couple","10","Exceptional","11 September 2014","Very good location,
Good service
And they have tourist information in the hotel 
For the gests only – that was grate
I will be harry to come back again 
To this hotel","","","Very good location,
Good service
And they have tourist information in the hotel 
For the gests only – that was grate
I will be harry to come back again 
To this hotel","","",
"Omer","Israel","Couple","10","Exceptional","4 September 2014","I was so happy we got this hotel! He is on the center, always clean inside, an excellent service!!!","Maybe you can improve the outside of the hotel.. I think it's look in some places old and that's it!","","I was so happy we got this hotel! He is on the center, always clean inside, an excellent service!!!","Maybe you can improve the outside of the hotel.. I think it's look in some places old and that's it!","",
"Rachel","Israel","Couple","9.2","Superb","28 August 2014","A great location, comfortable room and bed. The room was always clean. We've been here for a whole week. It's a great hotel for whom that looks for a place to crush. Next to Alexander platz (3 m4 tram stops, that comes every 3-8 min). Very nice and helpful crew.","The breakfast was expensive, we paid for a couple outside the same as if we have had to pay for one person at the hotel. The cleaning service wasn't the best, due to there refill of toilette paper (one time even we didn't have for a day) , tissue, shampoo, coffee and twillers and the coffee cups weren't always cleaned.. The peellows weren't comfortable...","","A great location, comfortable room and bed. The room was always clean. We've been here for a whole week. It's a great hotel for whom that looks for a place to crush. Next to Alexander platz (3 m4 tram stops, that comes every 3-8 min). Very nice and helpful crew.","The breakfast was expensive, we paid for a couple outside the same as if we have had to pay for one person at the hotel. The cleaning service wasn't the best, due to there refill of toilette paper (one time even we didn't have for a day) , tissue, shampoo, coffee and twillers and the coffee cups weren't always cleaned.. The peellows weren't comfortable...","",
"Amit","Israel","Solo traveller","10","Exceptional","28 August 2014","The Location, the Staff end the Cleanliness.","I have not been there long enough to know.","","The Location, the Staff end the Cleanliness.","I have not been there long enough to know.","",
"Elad","Israel","Couple","8.3","Very good","15 June 2014","The bed is great, location is not far from the center","The hotel try to over charge us when we booked some extra days, so we
cancel our booking and move to another one.","","The bed is great, location is not far from the center","The hotel try to over charge us when we booked some extra days, so we
cancel our booking and move to another one.","",
"Maya","Israel","Family","10","Exceptional","12 June 2014","Great location, good stuff","","","Great location, good stuff","","",
"Eran","Israel","Couple","10","Exceptional","11 June 2014","The hotel is in a great location, very clean and comfort.","","","The hotel is in a great location, very clean and comfort.","","",
"Roee","Israel","Couple","8.3","Very good","22 May 2014","good location! 12 minute walk to    alexanderplatz and 3 minute walk to the tram and bus stations. very close to a grocery shop.  breakfast was great with large selection.","although i order a room for a couple the room was equipped with two small individual beds.","","good location! 12 minute walk to    alexanderplatz and 3 minute walk to the tram and bus stations. very close to a grocery shop.  breakfast was great with large selection.","although i order a room for a couple the room was equipped with two small individual beds.","",
"Gad","Israel","Solo traveller","7.5","Good","5 November 2013","1. Breakfast was reach and diversified
2 The crew helped me with the traveling and how to use the transportation 
3. Room was nice and quite
4. location near Transportation lines","","","1. Breakfast was reach and diversified
2 The crew helped me with the traveling and how to use the transportation 
3. Room was nice and quite
4. location near Transportation lines","","",
