"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response","Pros Original","Cons Original","Response Original"
"eyal_m","Israel","Couple","6.7","Pleasant","24 May 2014","Nice location. 3 min walk from the closest metro station Adenauer plz.
Good wifi connection.
Most of the staff is kind and helpful.
You can buy the Berlin 
welcome card at the reception.
Good breakfast for 9 euro.","All in all the room was a bit old and it seemed like a renovation is needed.
There was a strange hole in the bathrooms ceiling.
The room was pretty small as well.","","Nice location. 3 min walk from the closest metro station Adenauer plz.
Good wifi connection.
Most of the staff is kind and helpful.
You can buy the Berlin 
welcome card at the reception.
Good breakfast for 9 euro.","All in all the room was a bit old and it seemed like a renovation is needed.
There was a strange hole in the bathrooms ceiling.
The room was pretty small as well.","",
"Paul","Belgium","Solo traveller","8.3","Conveniently located for the Messe and the City","9 October 2014","The hotel is perfectly suited for a business stay in Berlin, with friendly and efficient staff, comfortable rooms and a good breakfast. After work, you are close to dining and shopping venues.","","","The hotel is perfectly suited for a business stay in Berlin, with friendly and efficient staff, comfortable rooms and a good breakfast. After work, you are close to dining and shopping venues.","","",
"Michael","Germany","Solo traveller","3.8","very unfriendly place","15 September 2014","close to the city","bad behaviour of the staff
slow communication at the reception
never this kind of places again","","close to the city","bad behaviour of the staff
slow communication at the reception
never this kind of places again","",
"Michelle","United Kingdom","Couple","5.4","A little dated but ok","8 September 2014","The staff were friendly and helpful","The blinds didn't fit the window 
The room smelled a little","","The staff were friendly and helpful","The blinds didn't fit the window 
The room smelled a little","",
"Katy","United Kingdom","Couple","8.3","Great location, helpful staff","4 September 2014","The Novum Hotel Lichtburg is in a fantastic location, right by Ku'damm and within a 5 minute walk of two separate metro stations. The rooms were clean and tidy and regularly cleaned and the bathroom was fine, too. Staff were always helpful. There are also a number of good restaurants within easy walking distance, including a great German one (the name of which escapes me) on the walk to Adenaur Platz U-bahn station. There's a lift in the hotel although the walk up the stairs is good exercise!","WiFi was a bit hit and miss.","","The Novum Hotel Lichtburg is in a fantastic location, right by Ku'damm and within a 5 minute walk of two separate metro stations. The rooms were clean and tidy and regularly cleaned and the bathroom was fine, too. Staff were always helpful. There are also a number of good restaurants within easy walking distance, including a great German one (the name of which escapes me) on the walk to Adenaur Platz U-bahn station. There's a lift in the hotel although the walk up the stairs is good exercise!","WiFi was a bit hit and miss.","",
"Jolijn","Netherlands","Family","8.8","Fabulous","31 August 2014","the location","nothing","","the location","nothing","",
"James","New Zealand","Couple","10","Exceptional","29 August 2014","Amazingng value for money, handy to S line trains means you can explore Berlin easily.","Immediate neighbourhood didn't have a lot to offer. (But not far to go on train to see attractions)","","Amazingng value for money, handy to S line trains means you can explore Berlin easily.","Immediate neighbourhood didn't have a lot to offer. (But not far to go on train to see attractions)","",
"Joao","Netherlands","Couple","8.3","Good value for money hotel","22 August 2014","The staff was very helpful and the wifi worked flawlessly. The U-bahn close to the hotel makes the location very convenient.","In general there isn't much to point out. The rooms are a bit old and we missed having a kettle in the room which is just minor issues.","","The staff was very helpful and the wifi worked flawlessly. The U-bahn close to the hotel makes the location very convenient.","In general there isn't much to point out. The rooms are a bit old and we missed having a kettle in the room which is just minor issues.","",
"Mehmet","Turkey","Solo traveller","5","Passable","12 June 2014","the location is good","","","the location is good","","",
"Nanette","U.S.A.","Couple","10","Exceptional","10 June 2014","Great location, steps from Adenauer U Bahn and from Kudamm shopping district, helpful staff and very modern and clean room.  Loved it!","","","Great location, steps from Adenauer U Bahn and from Kudamm shopping district, helpful staff and very modern and clean room.  Loved it!","","",
"Indra","Latvia","Solo traveller","5.5","Passable","6 May 2014","Good location, near pubs with excelent menu and prices, compare with hotel breakfest (9euro/one).","Horrible fact, that pets are allowed in this hotel.  In the near room of my son (6 floor) lived 2 big dogs, start to be noisy from 6.00.
I bit old fashion in the rooms too, need renovation.","","Good location, near pubs with excelent menu and prices, compare with hotel breakfest (9euro/one).","Horrible fact, that pets are allowed in this hotel.  In the near room of my son (6 floor) lived 2 big dogs, start to be noisy from 6.00.
I bit old fashion in the rooms too, need renovation.","",
"Abigail","United Kingdom","Couple","9.6","Exceptional","25 April 2014","The hotel was clean and modern in style.  Our room was very comfortable and the breakfast was very tasty.  The WiFi was very fast and always available..","No tea or coffee making facilities in the room.","","The hotel was clean and modern in style.  Our room was very comfortable and the breakfast was very tasty.  The WiFi was very fast and always available..","No tea or coffee making facilities in the room.","",
"Anja","Germany","Family","7.1","Good","7 April 2014","Very friendly and helpful staff.","In the shower was quite an foxing ...","","Sehr freundlich und hilfsbereites Personal.","In der Dusche war einiges an Stockflecken...","",
"Kaul","Estonia","Group of friends","8.8","Fabulous","21 January 2014","Well worth the money. Nice, clean, friendly staff and good wifi connection in the rooms. Will stay there again for sure.","You will be bored with the breakfast selection after a couple of days. For short stay its fine though.","","Well worth the money. Nice, clean, friendly staff and good wifi connection in the rooms. Will stay there again for sure.","You will be bored with the breakfast selection after a couple of days. For short stay its fine though.","",
"Anton","Belarus","Couple","7.9","Good","5 October 2013","","It was very cold in the room in first days of October.","","","It was very cold in the room in first days of October.","",
"Vitaly","Russia","Couple","9.6","Exceptional","15 September 2013","It was all OK!","","","It was all OK!","","",
"Phoebe","United Kingdom","Solo traveller","10","Superbly clean and well located. Breakfast was excellent value, staff very helpful","30 September 2014","","","","","","",
"Hannah","Denmark","Group of friends","3.3","Poor","11 July 2014","","","","","","",
"Binoy","Austria","Family","9.2","Superb","27 June 2014","","","","","","",
