"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response"
"Rimma","Israel","Couple","6.3","Pleasant","7 September 2014","Close to metro station and to KDW. Breakfast is good. Very comfortable to have kettle and fridge in room. Room is big.","There is no central light, not enough light in the evening. Staff in eating zone hardly speaks English, only German. If you will come 30 min before end of breakfast, will be almost no food, but they can cook (cut) a little of something for you. Every day you need to put password for wi-fi again.","",
"Amir","Israel","Couple","9.6","Exceptional","21 October 2013","Great location, only 10 minutes from the city center (by bus). Quiet.
Friendly staff. Clean, brand-new rooms.","The kitchenette is a great idea, but utensils are charged 5 Euro per day
or 20 Euro per week. Wi-Fi signal in the rooms is weak.","",
"Emanuele","Italy","Solo traveller","7.1","Good","22 September 2014","Nice room with confortable bed and very clean.","No option for a different pillow created some problems in my sleep.","",
"Kirsty","United Kingdom","Group of friends","6.3","Pleasant","31 August 2014","","it was warm when in Berlin and the room was very stuffy and hot. otherwise a great hotel in a great location in berlin","",
"Nicholas","Germany","Couple","7.5","Good","26 August 2014","Very good value. Comfortable room, convenient for public transport.","Artwork on walls was a bit off-putting","",
"Gregor","Slovenia","Couple","10","Exceptional","23 August 2014","Nice location, had a morning jog in Tiergarten nearby. Allamneties in the room, we were ready so we had our own cutlery for morning coffee. Good value for money!","","",
"Evgeny","Germany","Couple","7.1","Good","19 August 2014","good location and price","noisy garbage disposal in the morning","",
"majma","Poland","Couple","8.3","Very good","11 August 2014","location is great","extra paid parking, waterproof sheet makes you sweat during hot nights","",
"James","United Kingdom","Solo traveller","8.8","Fabulous","7 August 2014","Small (72 rooms)hotel in quiet resedential areabut with easy access to all amenities. Staff were all very pleasant and helpful.Room modern and comfortable.","As on previous visits the wi-fi is of poor quality. Having to sit by room door to get signal really needs to be addressed.
No cooling of rooms possible during hot berlin summers. Again needs attention.","",
"Ross","United Kingdom","Couple","5","Passable","7 August 2014","Good wifi, nice decor. In general not bad at all for price.","Double bed pushed up against wall. Cost imposed if you want to borrow cutlery and crockery for kitchenette. Cleaning of room wasn't very thorough. Didn't change toilet roll etc.","",
"Muhammad","Qatar","Solo traveller","9.2","Superb","4 August 2014","Peaceful place , calm and quiet. You can rent a bike from the hotel to explore the city.
staff was friendly.","Wifi was a little trouble , every time i have to log in with the details.","",
